id,collected_at,rate_date,bank,period_key,period_label,rate,source_url
598,2026-06-19T10:48:43.865338,2026-06-19,Danske Bank,1_ar,1 år,3.39,https://www.finansportalen.se/bolan/
599,2026-06-19T10:48:43.866509,2026-06-19,Danske Bank,2_ar,2 år,3.56,https://www.finansportalen.se/bolan/
600,2026-06-19T10:48:41.161927,2026-06-19,Danske Bank,3_ar,3 år,3.18,https://www.compricer.se/bolan/
597,2026-06-19T10:48:43.864185,2026-06-19,Danske Bank,3_man,3 månader,3.84,https://www.finansportalen.se/bolan/
601,2026-06-19T10:48:41.163238,2026-06-19,Danske Bank,5_ar,5 år,3.03,https://www.compricer.se/bolan/
637,2026-06-19T10:48:43.873151,2026-06-19,Handelsbanken,1_ar,1 år,3.64,https://www.finansportalen.se/bolan/
638,2026-06-19T10:48:43.874323,2026-06-19,Handelsbanken,2_ar,2 år,3.74,https://www.finansportalen.se/bolan/
636,2026-06-19T10:48:43.871919,2026-06-19,Handelsbanken,3_man,3 månader,3.94,https://www.finansportalen.se/bolan/
614,2026-06-19T10:48:41.180321,2026-06-19,Handelsbanken,5_ar,5 år,3.6,https://www.compricer.se/bolan/
606,2026-06-19T10:48:43.854364,2026-06-19,Hypoteket,1_ar,1 år,3.69,https://www.finansportalen.se/bolan/
607,2026-06-19T10:48:43.855582,2026-06-19,Hypoteket,2_ar,2 år,3.85,https://www.finansportalen.se/bolan/
605,2026-06-19T10:48:43.853110,2026-06-19,Hypoteket,3_man,3 månader,3.31,https://www.finansportalen.se/bolan/
608,2026-06-19T10:48:41.172700,2026-06-19,Hypoteket,5_ar,5 år,3.93,https://www.compricer.se/bolan/
603,2026-06-19T10:48:43.858094,2026-06-19,ICA Banken,1_ar,1 år,3.9,https://www.finansportalen.se/bolan/
604,2026-06-19T10:48:43.859305,2026-06-19,ICA Banken,2_ar,2 år,4.15,https://www.finansportalen.se/bolan/
602,2026-06-19T10:48:43.856859,2026-06-19,ICA Banken,3_man,3 månader,3.48,https://www.finansportalen.se/bolan/
