id,created_at,warning_date,category,bank,period_key,message,severity,acknowledged
14,2026-07-17T08:21:06.484903,2026-07-17,BANK_MARGIN_INCREASING,Danske Bank,5_ar,"Danske Bank (5_ar): bankens marginal har ökat med 0.22 pp de senaste 30 dagarna (listränta +0.22 pp, styrränta +0.00 pp)",WARNING,0
13,2026-07-17T07:14:27.271744,2026-07-17,BANK_MARGIN_INCREASING,Danske Bank,5_ar,"Danske Bank (5_ar): bankens marginal har ökat med 0.22 pp de senaste 30 dagarna (listränta +0.22 pp, styrränta +0.00 pp)",WARNING,0
12,2026-07-16T08:25:06.123294,2026-07-16,BANK_MARGIN_INCREASING,Danske Bank,5_ar,"Danske Bank (5_ar): bankens marginal har ökat med 0.22 pp de senaste 30 dagarna (listränta +0.22 pp, styrränta +0.00 pp)",WARNING,0
11,2026-07-16T07:21:04.383064,2026-07-16,BANK_MARGIN_INCREASING,Danske Bank,5_ar,"Danske Bank (5_ar): bankens marginal har ökat med 0.22 pp de senaste 30 dagarna (listränta +0.22 pp, styrränta +0.00 pp)",WARNING,0
10,2026-07-15T08:25:31.502182,2026-07-15,BANK_MARGIN_INCREASING,Danske Bank,5_ar,"Danske Bank (5_ar): bankens marginal har ökat med 0.22 pp de senaste 30 dagarna (listränta +0.22 pp, styrränta +0.00 pp)",WARNING,0
9,2026-07-15T07:11:27.404357,2026-07-15,BANK_MARGIN_INCREASING,Danske Bank,5_ar,"Danske Bank (5_ar): bankens marginal har ökat med 0.22 pp de senaste 30 dagarna (listränta +0.22 pp, styrränta +0.00 pp)",WARNING,0
8,2026-07-14T08:19:59.161095,2026-07-14,BANK_MARGIN_INCREASING,Danske Bank,5_ar,"Danske Bank (5_ar): bankens marginal har ökat med 0.22 pp de senaste 30 dagarna (listränta +0.22 pp, styrränta +0.00 pp)",WARNING,0
7,2026-07-14T07:08:48.315345,2026-07-14,BANK_MARGIN_INCREASING,Danske Bank,5_ar,"Danske Bank (5_ar): bankens marginal har ökat med 0.22 pp de senaste 30 dagarna (listränta +0.22 pp, styrränta +0.00 pp)",WARNING,0
6,2026-07-13T09:40:24.638634,2026-07-13,BANK_MARGIN_INCREASING,Danske Bank,5_ar,"Danske Bank (5_ar): bankens marginal har ökat med 0.22 pp de senaste 30 dagarna (listränta +0.22 pp, styrränta +0.00 pp)",WARNING,0
5,2026-07-13T08:13:52.200102,2026-07-13,BANK_MARGIN_INCREASING,Danske Bank,5_ar,"Danske Bank (5_ar): bankens marginal har ökat med 0.22 pp de senaste 30 dagarna (listränta +0.22 pp, styrränta +0.00 pp)",WARNING,0
4,2026-07-12T08:27:29.316266,2026-07-12,BANK_MARGIN_INCREASING,Danske Bank,5_ar,"Danske Bank (5_ar): bankens marginal har ökat med 0.22 pp de senaste 30 dagarna (listränta +0.22 pp, styrränta +0.00 pp)",WARNING,0
3,2026-07-12T07:27:08.946265,2026-07-12,BANK_MARGIN_INCREASING,Danske Bank,5_ar,"Danske Bank (5_ar): bankens marginal har ökat med 0.22 pp de senaste 30 dagarna (listränta +0.22 pp, styrränta +0.00 pp)",WARNING,0
2,2026-07-11T08:06:36.907976,2026-07-11,BANK_MARGIN_INCREASING,Skandia,3_man,"Skandia (3_man): bankens marginal har ökat med 0.91 pp de senaste 30 dagarna (listränta +0.91 pp, styrränta +0.00 pp)",WARNING,0
1,2026-07-11T07:09:24.516489,2026-07-11,BANK_MARGIN_INCREASING,Skandia,3_man,"Skandia (3_man): bankens marginal har ökat med 0.91 pp de senaste 30 dagarna (listränta +0.91 pp, styrränta +0.00 pp)",WARNING,0
